Name,Number of Laps,Verstappen ,Hamilton ,Bottas,Perez ,Sainz,Norris ,Leclerc ,Ricciardo ,Gasly ,Alonso ,Ocon ,Vettel ,Stroll ,Tsunoda ,Russell ,Räikkönen ,Latifi ,Giovinazzi ,Schumacher ,Mazepin ,corner
Bahrain ,56,2,2,3,3,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,0,15
Emilia Romagna ,63,2,4,1,2,2,2,2,2,4,3,5,5,3,3,1,3,0,4,4,4,19
Portugal ,66,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,4,15
Spain,66,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,1,3,2,2,2,16
Monaco ,78,1,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,19
Azerbaijan ,51,1,3,3,3,3,3,3,3,3,4,0,3,0,3,4,3,2,4,5,6,20
France ,53,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,15
Styria ,71,1,2,1,2,1,1,2,1,0,1,1,1,1,1,2,1,2,1,1,1,10
Austria ,71,2,2,1,1,1,1,1,1,2,1,0,2,2,2,1,1,1,2,1,2,10
Great Britain ,52,0,2,2,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,18
Hungary ,70,5,4,0,0,3,1,0,3,3,3,3,3,0,3,3,4,3,5,3,0,14
Belgium ,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Netherlands ,72,2,3,2,2,1,1,1,1,1,1,1,2,1,1,2,0,1,2,2,1,14
Italy ,53,1,1,1,1,1,1,1,1,0,1,1,2,1,0,1,0,1,2,1,3,11
Russia ,53,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,1,2,18
Turkey ,58,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,14
United States ,56,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,3,20
Mexico ,71,1,1,4,1,1,1,1,2,1,1,1,1,2,0,1,1,2,1,0,2,17
Brazil ,71,4,4,4,5,4,5,4,3,4,3,3,4,3,5,4,4,4,4,5,3,15
Qatar ,57,3,2,1,2,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,1,16
Saudi Arabia ,50,2,3,3,2,2,3,3,2,2,3,2,2,3,3,2,3,3,2,0,1,27
Abu Dhabi ,58,3,1,1,3,1,2,2,2,2,1,1,1,2,2,0,1,1,1,2,0,16
